Accident Index,Timestamp,Year,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
201343P085113,"7:23am, 8th November 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P085113/,https://api.cyclestreets.net/v2/collisions.location?id=201343P085113,51.767397,-1.269147
201343P108053,"11:50am, 15th May 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P108053/,https://api.cyclestreets.net/v2/collisions.location?id=201343P108053,51.747936,-1.237492
201343P157073,"11:43pm, 16th July 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P157073/,https://api.cyclestreets.net/v2/collisions.location?id=201343P157073,51.749644,-1.230553
201343P172023,"11:01am, 19th February 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P172023/,https://api.cyclestreets.net/v2/collisions.location?id=201343P172023,51.752595,-1.221231
201343P174093,"3:53pm, 12th September 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P174093/,https://api.cyclestreets.net/v2/collisions.location?id=201343P174093,51.773779,-1.267493
201343P183083,"11:25pm, 21st August 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P183083/,https://api.cyclestreets.net/v2/collisions.location?id=201343P183083,51.752269,-1.255571
201343P186023,"3:45pm, 21st February 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P186023/,https://api.cyclestreets.net/v2/collisions.location?id=201343P186023,51.75745,-1.209064
201343P262043,"2:30pm, 19th April 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P262043/,https://api.cyclestreets.net/v2/collisions.location?id=201343P262043,51.752372,-1.254845
201343P267013,"7:33am, 30th January 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P267013/,https://api.cyclestreets.net/v2/collisions.location?id=201343P267013,51.753365,-1.293234
201343P267033,"5:57pm, 31st March 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P267033/,https://api.cyclestreets.net/v2/collisions.location?id=201343P267033,51.735507,-1.232879
201343P287103,"2:18am, 20th October 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P287103/,https://api.cyclestreets.net/v2/collisions.location?id=201343P287103,51.753857,-1.259311
201343P291113,"8:20am, 20th November 2013",2013,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201343P291113/,https://api.cyclestreets.net/v2/collisions.location?id=201343P291113,51.750118,-1.242598
201343P407103,"11:50pm, 4th October 2013",2013,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P407103/,https://api.cyclestreets.net/v2/collisions.location?id=201343P407103,51.76739,-1.231367
201243P002092,"6:45pm, 1st September 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P002092/,https://api.cyclestreets.net/v2/collisions.location?id=201243P002092,51.752226,-1.248835
201243P006022,"6:30pm, 2nd February 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P006022/,https://api.cyclestreets.net/v2/collisions.location?id=201243P006022,51.748992,-1.278005
201243P021032,"9:47am, 1st March 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P021032/,https://api.cyclestreets.net/v2/collisions.location?id=201243P021032,51.757872,-1.260187
201243P034092,"6:18pm, 5th September 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P034092/,https://api.cyclestreets.net/v2/collisions.location?id=201243P034092,51.752132,-1.248257
201243P035072,"4:55pm, 1st July 2012",2012,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201243P035072/,https://api.cyclestreets.net/v2/collisions.location?id=201243P035072,51.74994,-1.256985
201243P060072,"10:36pm, 6th July 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P060072/,https://api.cyclestreets.net/v2/collisions.location?id=201243P060072,51.732771,-1.229898
