Case Number,Address,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
16/05323/HMOADL,2 Beech Road Oxford Oxfordshire OX3 7RR,7,,07/02/2017,07/02/2018
17/01216/HMOLIC,61 Sandfield Road Oxford Oxfordshire OX3 7RW,7,,08/03/2017,07/04/2018
15/05603/HMOADL,9 Sandfield Road Headington Oxford OX3 7RG,10,,29/01/2016,29/01/2018
16/03406/HMOADL,188 Sandy Lane Oxford Oxfordshire OX4 6LQ,5,,06/08/2016,06/10/2017
16/04075/HMOADL,14 Sheepway Court Oxford Oxfordshire OX4 4JL,4,4,29/09/2016,06/08/2018
16/04451/HMOLIC,15 Sheepway Court Oxford Oxfordshire OX4 4JL,5,5,07/10/2016,04/08/2018
16/06143/HMOADL,10 Sheepway Court Oxford Oxfordshire OX4 4JL,5,,17/02/2017,11/03/2018
16/04932/HMOADL,8 Sheldon Way Oxford Oxfordshire OX4 3TR,5,,19/11/2016,19/11/2018
16/02893/HMOADS,10 Shelford Place Oxford Oxfordshire OX3 7NW,4,4,08/07/2016,24/01/2021
16/00605/HMOADL,8 Shelley Road Oxford Oxfordshire OX4 3EA,7,7,14/12/2016,14/12/2017
16/04458/HMOADL,6 Shelley Road Oxford Oxfordshire OX4 3EA,5,,15/10/2016,15/02/2018
17/00216/HMOADL,19 Shelley Road Oxford Oxfordshire OX4 3EB,4,4,17/03/2017,16/03/2018
17/01566/HMOADS,11 Shelley Road Oxford Oxfordshire OX4 3EB,6,,23/06/2017,22/06/2019
16/05023/HMOADS,1 Shelley Road Oxford Oxfordshire OX4 3EA,4,,28/11/2016,28/12/2017
16/03963/HMOADS,3 Shelley Road Oxford Oxfordshire OX4 3EA,4,,23/09/2016,22/01/2018
16/03538/HMOADS,10 Shelley Road Oxford Oxfordshire OX4 3EA,4,,18/07/2017,18/07/2018
16/02479/HMOADS,16 Shelley Road Oxford OX4 3EA,4,4,26/06/2016,26/06/2018
16/04361/HMOADS,24 Shelley Road Oxford Oxfordshire OX4 3EB,4,,03/01/2017,03/01/2018
16/03429/HMOADL,12 Shelley Road Oxford Oxfordshire OX4 3EA,5,5,08/08/2016,07/03/2018
17/00372/HMOADL,14 Ship Street Oxford Oxfordshire OX1 3DA,4,,31/03/2017,30/03/2018
16/05066/HMOADL,1 Shirelake Close Oxford Oxfordshire OX1 1SN,5,,03/12/2016,03/12/2018
16/04215/HMOADL,20 Shirelake Close Oxford Oxfordshire OX1 1SN,3,3,10/10/2016,10/03/2018
16/03338/HMOADL,15 Silver Road Oxford Oxfordshire OX4 3AP,4,,05/09/2016,05/09/2018
15/05473/HMOADS,28 Silver Road Oxford Oxfordshire OX4 3AP,4,,02/05/2017,01/05/2018
16/02957/HMOADS,35 Silver Road Oxford Oxfordshire OX4 3AP,4,4,03/08/2016,03/11/2017
16/05261/HMOADS,11 Skene Close Oxford Oxfordshire OX3 7XQ,3,3,18/12/2016,24/01/2021
15/00660/HMOADS,12 Slade Close Oxford Oxfordshire OX3 7DY,4,2,08/03/2017,07/03/2018
16/00146/HMOADS,10 Slade Close Oxford Oxfordshire OX3 7DY,4,3,29/03/2017,28/03/2018
16/02523/HMOLIC,42 South Parade Oxford Oxfordshire OX2 7JL,5,5,05/05/2017,04/05/2018
16/05350/HMOLIC,2 South Parade Oxford Oxfordshire OX2 7JL,6,6,25/12/2016,24/12/2017
16/02521/HMOLIC,43 South Parade Oxford Oxfordshire OX2 7JL,5,5,05/05/2017,04/05/2018
17/01813/HMOADL,23 Southfield Road Oxford Oxfordshire OX4 1NX,5,,12/07/2017,11/07/2019
17/01817/HMOADL,54 Southfield Road Oxford Oxfordshire OX4 1NZ,5,5,14/07/2017,13/07/2019
17/01771/HMOADS,38 Southfield Road Oxford OX4 1NZ,4,4,03/07/2017,02/07/2018
17/00979/HMOADL,33 Southfield Road Oxford Oxfordshire OX4 1NX,6,5,16/05/2017,15/05/2018
17/00245/HMOADL,11 Southfield Road Oxford OX4 1NX,6,,19/03/2017,19/03/2018
17/00017/HMOLIC,35 Southfield Road Oxford Oxfordshire OX4 1NX,6,6,20/02/2017,19/02/2022
16/06206/HMOADL,4 Southfield Road Oxford Oxfordshire OX4 1NZ,6,,21/03/2017,20/03/2018
16/05937/HMOADL,26 Southfield Road Oxford Oxfordshire OX4 1NZ,4,4,06/02/2017,06/02/2018
16/05612/HMOADL,118 Southfield Road Oxford Oxfordshire OX4 1PA,5,,14/03/2017,13/03/2018
16/05081/HMOADS,27 Southfield Road Oxford OX4 1NX,4,,09/12/2016,09/12/2017
16/04993/HMOLIC,45 Southfield Road Oxford Oxfordshire OX4 1NX,5,,04/12/2016,04/12/2017
16/04646/HMOADL,2A Southfield Road Oxford Oxfordshire OX4 1NZ,6,,31/10/2016,30/07/2018
16/02651/HMOADL,1 Southfield Road Oxford Oxfordshire OX4 1NX,5,,25/06/2016,20/12/2017
17/02158/HMOADL,52 Southfield Road Oxford Oxfordshire OX4 1NZ,5,4,27/07/2017,26/07/2018
16/02446/HMOADL,2 Southfield Road Oxford Oxfordshire OX4 1NZ,8,6,13/06/2016,13/10/2017
16/04558/HMOLIC,9 Southfield Road Oxford Oxfordshire OX4 1NX,7,,24/10/2016,24/05/2018
16/02491/HMOADL,42 Southfield Road Oxford Oxfordshire OX4 1NZ,5,,18/04/2017,17/04/2018
16/02672/HMOADL,117 Southfield Road Oxford Oxfordshire OX4 1NY,6,,20/12/2016,20/12/2017
16/03083/HMOLIC,48 Southfield Road Oxford Oxfordshire OX4 1NZ,6,6,13/07/2016,13/10/2017
16/03180/HMOLIC,12 Southfield Road Oxford Oxfordshire OX4 1NZ,8,8,12/07/2016,12/01/2018
16/04042/HMOADL,29 Southfield Road Oxford Oxfordshire OX4 1NX,5,5,26/09/2016,26/12/2017
16/04126/HMOADL,126 Southfield Road Oxford Oxfordshire OX4 1PA,5,5,15/10/2016,24/01/2021
16/04138/HMOADL,32 Southfield Road Oxford Oxfordshire OX4 1NZ,5,5,01/10/2016,01/10/2017
16/04173/HMOADL,19 Southfield Road Oxford Oxfordshire OX4 1NX,5,,07/10/2016,07/10/2018
15/02927/HMOADS,31 Southfield Road Oxford Oxfordshire OX4 1NX,4,4,21/11/2015,21/11/2017
16/02587/HMOLIC,101 Southmoor Road Oxford Oxfordshire OX2 6RE,6,,21/07/2016,24/01/2021
16/02698/HMOLIC,97 Southmoor Road Oxford Oxfordshire OX2 6RE,6,,23/07/2016,24/01/2021
17/00824/HMOADL,Top Flat 116 Southmoor Road Oxford Oxfordshire OX2 6RB,4,,26/04/2017,25/04/2022
16/03810/HMOADS,9 Sparsey Place Oxford Oxfordshire OX2 8NL,4,,06/09/2016,06/05/2018
17/01008/HMOLIC,Site Of 4 Pembroke Street And 94 St Aldate's Oxford Oxfordshire OX1 1BP,16,,17/03/2017,02/02/2018
17/01651/HMOADS,32 St Anne's Road Oxford Oxfordshire OX3 8NL,3,,03/07/2017,02/07/2018
16/04563/HMOADS,6 St Barnabas Street Oxford Oxfordshire OX2 6BG,4,4,24/10/2016,24/10/2018
17/00072/HMOADS,3 St Barnabas Street Oxford Oxfordshire OX2 6BG,4,,15/03/2017,14/03/2019
17/02088/HMOADS,5 St Barnabas Street Oxford Oxfordshire OX2 6BG,4,,29/07/2017,28/07/2018
16/03876/HMOADS,1 St Barnabas Street Oxford Oxfordshire OX2 6BG,3,,10/09/2016,19/07/2018
16/04934/HMOLIC,63 - 64 St Bernard's Road Oxford Oxfordshire,12,,20/11/2016,07/06/2018
17/01250/HMOLIC,50 St Clement's Street Oxford Oxfordshire OX4 1AG,5,5,27/05/2017,26/05/2019
16/06227/HMOLIC,96 St Clements Street Oxford Oxfordshire OX4 1AR,5,5,23/03/2017,22/03/2018
17/00088/HMOLIC,95 St Clements Street Oxford Oxfordshire OX4 1AR,5,,30/12/2016,30/12/2017
17/00243/HMOADS,75 St Clement's Street Oxford Oxfordshire OX4 1AH,4,,16/03/2017,16/03/2018
17/00365/HMOADS,54A St Clement's Street Oxford Oxfordshire OX4 1AG,4,,24/03/2017,23/03/2018
17/00373/HMOADL,74 St Clement's Street Oxford Oxfordshire OX4 1AH,4,4,31/03/2017,31/03/2018
17/00434/HMOADL,Flat Above 58A St Clement's Street Oxford Oxfordshire OX4 1AH,16,,02/04/2017,02/05/2018
17/00814/HMOLIC,69A St Clements Street Oxford Oxfordshire OX4 1AH,5,5,26/05/2017,25/05/2018
17/02084/HMOADL,90 St Clements Street Oxford Oxfordshire OX4 1AR,4,4,27/07/2017,26/07/2018
16/03405/HMOADL,58 St Clement's Street Oxford Oxfordshire OX4 1AH,4,4,30/08/2016,30/11/2017
16/04739/HMOADL,59 St Clement's Street Oxford Oxfordshire OX4 1AH,4,4,04/11/2016,04/06/2018
17/00470/HMOLIC,15 St Clement's Street Oxford Oxfordshire OX4 1AB,9,,21/07/2017,20/07/2018
16/02915/HMOLIC,The Old Mission Hall 57B St Clement's Street Oxford Oxfordshire OX4 1AG,12,12,30/03/2017,29/03/2018
16/04613/HMOADL,70A St Clement's Street Oxford Oxfordshire OX4 1AH,4,,30/11/2016,30/05/2018
16/02906/HMOADL,45 St Clement's Street Oxford Oxfordshire OX4 1AG,4,4,27/07/2016,27/10/2017
16/02925/HMOADS,57E St Clement's Street Oxford Oxfordshire OX4 1AG,3,3,05/07/2016,05/01/2018
16/03211/HMOLIC,77 St Clement's Street Oxford Oxfordshire OX4 1AW,6,5,08/07/2016,27/06/2018
16/03676/HMOLIC,52 St Clement's Street Oxford Oxfordshire OX4 1AG,9,,01/09/2016,01/12/2017
16/03609/HMOADS,71 St Clement's Street Oxford Oxfordshire OX4 1AH,4,,13/07/2017,12/07/2018
15/03077/HMOLIC,88 St Clement's Street Oxford Oxfordshire OX4 1AR,5,5,29/03/2017,28/03/2018
16/04336/HMOADL,77C St Clement's Street Oxford Oxfordshire OX4 1AW,6,,15/10/2016,15/10/2018
16/04437/HMOADL,47 St Clements Street Oxford Oxfordshire OX4 1AG,5,,30/01/2017,30/01/2018
16/04453/HMOADL,36A St Clement's Street Oxford Oxfordshire OX4 1AB,6,5,14/10/2016,14/12/2017
15/04329/HMOLIC,46 St Clements Street Oxford Oxfordshire OX4 1AG,5,5,11/11/2015,11/11/2017
16/02440/HMOLIC,37 St Giles' Oxford Oxfordshire OX1 3LR,10,7,19/04/2017,18/04/2018
16/04476/HMOLIC,Third Floor Flat A 47 St John Street Oxford Oxfordshire OX1 2LQ,5,5,15/10/2016,15/10/2017
16/05928/HMOADS,Second Floor Flat B 47-48 St John Street Oxford Oxfordshire OX1 2LQ,4,4,12/02/2017,12/02/2018
16/05883/HMOLIC,47 St Leonard's Road Oxford Oxfordshire OX3 8AD,8,,31/01/2017,30/01/2018
16/03677/HMOADL,45 St Leonard's Road Oxford Oxfordshire OX3 8AD,4,4,01/09/2016,02/08/2018
16/03896/HMOADL,48 St Leonard's Road Oxford Oxfordshire OX3 8AB,4,,11/09/2016,24/01/2021
16/04493/HMOLIC,31 St Leonard's Road Oxford Oxfordshire OX3 8AD,5,5,17/10/2016,17/07/2018
16/04967/HMOADS,77 St Leonard's Road Oxford Oxfordshire OX3 8AD,4,,25/11/2016,24/01/2021
17/02224/HMOADS,28 St Luke's Road Oxford Oxfordshire OX4 3JB,4,,04/08/2017,03/08/2018
17/03530/HMOADL,36 St Luke's Road Oxford Oxfordshire OX4 3JB,5,,13/09/2017,12/09/2019
16/03275/HMOADS,26 St Martin's Road Oxford Oxfordshire OX4 4RS,4,4,25/07/2016,24/07/2018
17/00012/HMOADL,6 St Mary's Road Oxford Oxfordshire OX4 1PX,7,5,09/02/2017,08/02/2018
16/04009/HMOADS,3 St Mary's Road Oxford Oxfordshire OX4 1PX,4,,16/12/2016,16/12/2017
16/04544/HMOADS,61 St Mary's Road Oxford Oxfordshire OX4 1PZ,4,4,23/10/2016,23/10/2018
16/04598/HMOLIC,80 St Mary's Road Oxford Oxfordshire OX4 1QD,5,5,24/11/2016,24/11/2017
16/05447/HMOADL,83 St Mary's Road Oxford Oxfordshire OX4 1QD,6,5,05/01/2017,05/06/2018
16/05532/HMOADS,10 St Mary's Road Oxford Oxfordshire OX4 1PX,4,,30/01/2017,30/01/2019
16/05731/HMOADL,69B St Mary's Road Oxford Oxfordshire OX4 1QB,4,,22/01/2017,22/01/2018
16/05918/HMOADS,100 St Mary's Road Oxford Oxfordshire OX4 1QD,4,4,06/02/2017,06/02/2019
16/06203/HMOADL,66 St Mary's Road Oxford Oxfordshire OX4 1QA,6,,20/02/2017,19/02/2018
17/00218/HMOADS,107 St Mary's Road Oxford Oxfordshire OX4 1QD,4,,21/03/2017,21/03/2018
17/00262/HMOLIC,65B St Mary's Road Oxford Oxfordshire OX4 1PN,6,,13/03/2017,12/03/2018
17/00523/HMOLIC,24 St Mary's Road Oxford Oxfordshire OX4 1PY,11,,08/04/2017,07/04/2018
17/01265/HMOLIC,51 St Mary's Road Oxford Oxfordshire OX4 1PY,9,8,14/06/2017,13/06/2019
17/02085/HMOADS,27 St Mary's Road Oxford Oxfordshire OX4 1PY,4,,27/07/2017,26/07/2019
17/02607/HMOADL,2 St Mary's Road Oxford Oxfordshire OX4 1PX,7,7,25/08/2017,24/08/2018
16/03778/HMOLIC,43 St Mary's Road Oxford Oxfordshire OX4 1PY,5,5,05/09/2016,05/09/2021
16/06172/HMOADL,65A St Mary's Road Oxford Oxfordshire OX4 1PN,5,,17/02/2017,16/02/2018
16/02461/HMOADS,105 St Mary's Road Oxford Oxfordshire OX4 1QD,4,,30/06/2016,30/09/2017
15/05621/HMOADS,88 St Mary's Road Oxford Oxfordshire OX4 1QD,4,,09/01/2017,09/01/2018
16/00561/HMOLIC,45 St Mary's Road Oxford Oxfordshire OX4 1PY,8,8,18/08/2017,17/08/2018
16/02243/HMOADL,60 St Mary's Road Oxford Oxfordshire OX4 1PZ,5,5,16/07/2016,16/07/2018
16/03970/HMOLIC,90 St Mary's Road Oxford Oxfordshire OX4 1QD,11,,25/09/2016,31/07/2018
16/02285/HMOLIC,81 St Mary's Road Oxford Oxfordshire OX4 1QD,12,,19/04/2017,18/04/2018
16/03065/HMOADS,75 St Mary's Road Oxford Oxfordshire OX4 1QD,5,,10/07/2016,28/06/2018
16/03087/HMOLIC,25 St Mary's Road Oxford Oxfordshire OX4 1PY,6,6,13/07/2016,28/06/2018
16/03095/HMOADL,1 St Mary's Road Oxford Oxfordshire OX4 1PX,6,,14/07/2016,28/06/2018
16/03303/HMOADL,94 St Mary's Road Oxford Oxfordshire OX4 1QD,5,,23/06/2017,07/07/2018
16/03403/HMOLIC,70 St Marys Road Oxford OX4 1QB,6,6,28/08/2016,28/08/2018
16/03476/HMOADS,94A St Mary's Road Oxford Oxfordshire OX4 1QD,4,4,04/09/2016,04/09/2018
16/03525/HMOADL,65C St Mary's Road Oxford Oxfordshire OX4 1PN,5,5,26/04/2017,25/04/2018
16/03937/HMOADL,11 St Mary's Road Oxford Oxfordshire OX4 1PX,4,,19/09/2016,19/09/2018
16/03877/HMOLIC,4 St Mary's Road Oxford Oxfordshire OX4 1PX,6,5,10/09/2016,19/07/2018
16/02252/HMOLIC,53 St Mary's Road Oxford Oxfordshire OX4 1PY,5,5,15/06/2016,15/12/2017
14/03543/HMOLIC,34 St Michael's Street Oxford Oxfordshire OX1 2EB,7,,23/12/2016,23/12/2017
15/03529/HMOLIC,10 St Michael's Street Oxford Oxfordshire OX1 2DU,5,,01/03/2017,28/02/2018
16/04267/HMOADL,5 St Omer Road Oxford Oxfordshire OX4 3HB,5,,02/02/2017,02/02/2018
16/04715/HMOADL,5A St Omer Road Oxford Oxfordshire OX4 3HB,5,,04/11/2016,04/11/2018
16/00113/HMOADL,2 St Peter's Road Oxford Oxfordshire OX2 8AU,5,,20/02/2016,20/11/2017
16/05821/HMOADS,Flat 28 The Old Bakery 54-57 St Thomas Street Oxford Oxfordshire OX1 1JP,3,,28/01/2017,28/01/2018
16/05819/HMOADS,Flat 2 The Old Bakery 54-57 St Thomas Street Oxford Oxfordshire OX1 1JP,4,4,28/01/2017,28/01/2018
16/03323/HMOADL,26 St Thomas Street Oxford Oxfordshire OX1 1JJ,4,4,19/08/2016,19/08/2018
16/05234/HMOADS,23 St Thomas Street Oxford Oxfordshire OX1 1JJ,4,4,16/12/2016,16/12/2018
16/03572/HMOADL,25 St Thomas Street Oxford Oxfordshire OX1 1JJ,4,4,16/08/2016,11/03/2018
16/05211/HMOADL,1 Stable Close Oxford Oxfordshire OX1 2RF,5,5,20/12/2016,24/01/2021
17/00613/HMOADL,23 Stable Close Oxford Oxfordshire OX1 2RF,3,,01/04/2017,31/03/2018
17/00963/HMOADL,21 Stable Close Oxford Oxfordshire OX1 2RF,4,4,26/04/2017,25/04/2018
17/00016/HMOADS,6 Stainer Place Oxford Oxfordshire OX3 0LE,4,,18/02/2017,17/02/2018
16/02345/HMOADL,49 Stanley Road Oxford Oxfordshire OX4 1QY,4,4,20/06/2016,19/06/2018
17/01905/HMOLIC,15 Stanley Road Oxford Oxfordshire OX4 1QY,12,,17/07/2017,16/07/2022
17/01185/HMOADL,The Annexe Madina Mosque 2 Stanley Road Oxford Oxfordshire OX4 1QZ,7,,24/05/2017,23/05/2018
17/00437/HMOLIC,34 Stanley Road Oxford Oxfordshire OX4 1QZ,6,,16/02/2017,15/02/2019
16/05302/HMOADS,2 Stanley Road Oxford Oxfordshire OX4 1QZ,5,,22/12/2016,22/05/2018
16/05026/HMOADL,Laurel House 39 Stanley Road Oxford Oxfordshire OX4 1QY,4,4,29/11/2016,29/11/2017
16/04265/HMOLIC,8 Stanley Road Oxford Oxfordshire OX4 1QZ,8,8,14/10/2016,05/07/2018
16/02660/HMOADL,36 Stanley Road Oxford OX4 1QZ,4,,04/01/2017,04/01/2018
15/01022/HMOADL,37 Stanley Road Oxford Oxfordshire OX4 1QY,4,4,30/12/2014,06/10/2017
16/03520/HMOLIC,41 Stanley Road Oxford Oxfordshire OX4 1QY,4,,18/07/2017,18/07/2018
16/04146/HMOADS,94 Stanway Road Oxford Oxfordshire OX3 8HX,4,4,22/12/2016,22/12/2017
16/02881/HMOADS,4 Stapleton Road Oxford Oxfordshire OX3 7LU,4,4,02/07/2016,07/11/2017
16/03987/HMOADS,25 Stapleton Road Headington Oxford OX3 7LX,4,4,26/09/2016,31/07/2018
16/02955/HMOADS,Flat 2 16 Stapleton Road Oxford Oxfordshire OX3 7LU,4,,12/05/2017,11/05/2018
16/03409/HMOLIC,115 Staunton Road Oxford Oxfordshire OX3 7TR,5,5,06/07/2017,05/07/2018
16/03424/HMOLIC,117 Staunton Road Oxford Oxfordshire OX3 7TR,5,6,07/07/2017,06/07/2018
16/01471/HMOLIC,7 Stephen Road Oxford Oxfordshire OX3 9AY,8,8,11/05/2016,11/10/2017
16/02928/HMOLIC,14 Stephen Road Oxford Oxfordshire OX3 9AY,6,5,08/07/2016,26/06/2018
17/02078/HMOLIC,16 Stephen Road Headington Oxford OX3 9AY,10,9,25/07/2017,24/07/2018
17/01006/HMOADS,10 Stewart Street Oxford Oxfordshire OX1 4RH,4,,18/05/2017,17/05/2019
17/00256/HMOADS,2 Stile Road Oxford Oxfordshire OX3 8AQ,5,,06/04/2017,05/04/2018
16/02953/HMOADS,9 Stockleys Road Oxford Oxfordshire OX3 9RH,4,4,12/05/2017,11/05/2018
16/03928/HMOADL,7 Stockleys Road Oxford Oxfordshire OX3 9RH,5,5,19/09/2016,24/01/2021
17/02330/HMOADS,39 Stockmore Street Oxford Oxfordshire OX4 1JT,4,4,12/02/2017,11/02/2019
16/02323/HMOLIC,3 Stockmore Street Oxford Oxfordshire OX4 1JT,6,6,13/07/2016,13/07/2018
16/02489/HMOADS,24 Stockmore Street Oxford Oxfordshire OX4 1JT,3,,27/06/2016,27/11/2017
16/03069/HMOADS,11 Stockmore Street Oxford Oxfordshire OX4 1JT,4,,10/07/2016,28/06/2018
16/03553/HMOADS,41 Stockmore Street Oxford Oxfordshire OX4 1JT,3,3,17/08/2016,17/11/2017
16/03555/HMOADL,40 Stockmore Street Oxford Oxfordshire OX4 1JT,5,5,17/08/2016,17/10/2017
16/04132/HMOADS,22 Stockmore Street Oxford Oxfordshire OX4 1JT,3,3,30/12/2016,30/12/2017
17/00004/HMOADL,1 Stockmore Street Oxford Oxfordshire OX4 1JT,8,8,19/02/2017,18/02/2018
17/02064/HMOLIC,10 Stockmore Street Oxford Oxfordshire OX4 1JT,5,5,19/07/2017,20/07/2019
16/00106/HMOADL,38 Stockmore Street Oxford OX4 1JT,5,5,19/02/2016,19/02/2018
17/00964/HMOADL,4 Stone Street Oxford Oxfordshire OX4 1NH,5,5,25/04/2017,24/04/2019
16/03354/HMOADS,2A Stonor Place Oxford Oxfordshire OX3 7QD,3,,01/08/2016,01/08/2018
16/03544/HMOADS,2 Stonor Place Oxford Headington Oxfordshire OX3 7QD,4,,11/08/2016,11/08/2018
16/04088/HMOADL,19 Stratford Street Oxford Oxfordshire OX4 1SP,5,5,06/09/2016,05/12/2017
16/05936/HMOADS,58 Stratford Street Oxford Oxfordshire OX4 1SW,4,4,05/02/2017,04/02/2018
17/01320/HMOLIC,2 Stratford Street Oxford Oxfordshire OX4 1SW,6,6,11/07/2017,10/07/2019
17/02610/HMOADL,64 Stratford Street Oxford Oxfordshire OX4 1SW,4,,28/08/2017,27/08/2018
17/02227/HMOADL,6 Summerfield Oxford Oxfordshire OX1 4RU,4,,04/08/2017,03/08/2018
16/01474/HMOADS,9 Summerfield Oxford Oxfordshire OX1 4RU,3,3,11/05/2016,11/10/2017
16/03268/HMOADS,20 Summerfield Oxford Oxfordshire OX1 4RU,4,4,28/07/2016,27/07/2018
16/00825/HMOADL,26 Sunderland Avenue Oxford Oxfordshire OX2 8DX,5,,05/04/2017,04/04/2018
16/03557/HMOADS,35 Sunningwell Road Oxford Oxfordshire OX1 4SZ,3,,17/08/2016,17/10/2017
16/04140/HMOADL,44 Sunningwell Road Oxford Oxfordshire OX1 4SX,5,5,02/10/2016,02/10/2017
16/05210/HMOADS,59 Sunningwell Road Oxford Oxfordshire OX1 4SZ,4,,19/12/2016,18/12/2017
16/00097/HMOADL,12 Sunningwell Road Oxford Oxfordshire OX1 4SX,5,5,29/03/2017,28/03/2018
16/04559/HMOADS,3 Sunnyside Oxford Oxfordshire OX4 2NW,4,3,24/10/2016,24/05/2018
15/03945/HMOADS,1 Sweet Green Close Oxford Oxfordshire OX3 8FR,6,,23/01/2017,23/01/2018
17/00744/HMOADL,47 Swinburne Road Oxford Oxfordshire OX4 4BE,7,,04/05/2017,03/05/2019
17/00254/HMOADL,72 Swinburne Road Oxford Oxfordshire OX4 4BG,5,,10/04/2017,09/04/2018
17/02678/HMOADS,23 Tawney Street Oxford Oxfordshire OX4 1NJ,4,4,23/08/2017,22/08/2018
17/02513/HMOADS,21 Tawney Street Oxford Oxfordshire OX4 1NJ,4,4,23/08/2017,22/08/2018
15/05590/HMOADS,16 Tawney Street Oxford Oxfordshire OX4 1NJ,5,,03/05/2017,02/05/2018
16/05489/HMOADL,3 Tawney Street Oxford Oxfordshire OX4 1NJ,5,5,07/01/2017,07/01/2019
17/02037/HMOADL,14 Tawney Street Oxford Oxfordshire OX4 1NJ,4,,23/07/2017,22/07/2019
15/00911/HMOADL,32 Temple Road Oxford OX4 2HD,4,,16/12/2016,16/12/2017
16/03271/HMOADL,8 Temple Mews 6 Temple Road Oxford Oxfordshire OX4 2DY,4,,29/07/2016,29/07/2018
16/05578/HMOADL,86 Temple Road Oxford Oxfordshire OX4 2EZ,6,6,14/01/2017,13/02/2018
17/02074/HMOADL,36 Temple Road Oxford Oxfordshire OX4 2HB,5,,22/07/2017,21/07/2018
16/04286/HMOADS,20 Temple Street Oxford Oxfordshire OX4 1JS,3,3,14/10/2016,14/10/2018
16/04845/HMOADL,17 Temple Street Oxford Oxfordshire OX4 1JS,4,4,21/04/2017,21/04/2018
16/02642/HMOADL,27 Temple Street Oxford Oxfordshire OX4 1JS,4,,20/12/2016,20/12/2017
15/03506/HMOADS,28 Temple Street Oxford Oxfordshire OX4 1JS,4,4,09/01/2017,09/01/2018
17/01120/HMOLIC,6 Temple Street Oxford Oxfordshire OX4 1JS,5,5,05/06/2017,04/06/2018
16/03756/HMOADS,10A Thames Street Oxford Oxfordshire OX1 1TS,4,4,15/09/2016,15/10/2017
16/04354/HMOADS,4 Thames Street Oxford Oxfordshire OX1 1TS,4,4,22/09/2016,22/10/2017
16/04464/HMOADS,6 Thames Street Oxford Oxfordshire OX1 1TS,4,4,15/10/2016,24/01/2021
16/03335/HMOADL,40 Thames View Road Oxford Oxfordshire OX4 4TG,5,,21/08/2016,11/07/2018
16/04483/HMOADS,Flat 1 Beechwood House Barton Road Oxford Oxfordshire OX3 9JZ,4,,17/01/2017,17/01/2018
16/04487/HMOADS,Flat 2 Beechwood House Barton Road Oxford Oxfordshire OX3 9JZ,4,,29/12/2016,29/12/2017
16/04554/HMOADS,Flat 5 Beechwood House The Beeches Oxford Oxfordshire OX3 9JZ,3,,15/12/2016,15/12/2017
17/00122/HMOADL,27 The Grates Oxford Oxfordshire OX4 3LJ,9,,09/03/2017,08/03/2018
17/01677/HMOLIC,49 The Grates Oxford Oxfordshire OX4 3LJ,5,5,05/07/2017,04/07/2018
15/05804/HMOADL,72 The Slade Oxford Oxfordshire OX3 7DX,7,7,12/10/2016,12/10/2017
16/01658/HMOADL,15 The Slade Oxford Oxfordshire OX3 7HL,5,5,19/05/2016,19/12/2017
16/05166/HMOADS,103 The Slade Oxford Oxfordshire OX3 7HW,4,,11/12/2016,10/03/2018
17/01281/HMOADS,101 The Slade Oxford Oxfordshire OX3 7HW,4,3,04/06/2017,03/06/2018
15/05498/HMOADL,63 The Slade Oxford Oxfordshire OX3 7HN,5,5,22/01/2016,04/01/2018
17/02003/HMOADS,8 The Willows Oxford Oxfordshire OX3 9FE,5,,13/07/2017,14/07/2018
16/05716/HMOADL,2 Tilehouse Close Oxford Oxfordshire OX3 8AU,6,6,21/01/2017,21/01/2019
15/01996/HMOADS,17 Tilehouse Close Oxford Oxfordshire OX3 8AU,4,,06/10/2016,06/10/2017
16/04628/HMOADL,9 Tilehouse Close Oxford Oxfordshire OX3 8AU,5,5,28/10/2016,28/12/2017
17/00062/HMOADL,36 Titup Hall Drive Oxford Oxfordshire OX3 8QG,5,,23/03/2017,22/03/2019
16/04213/HMOADL,26 Titup Hall Drive Oxford Oxfordshire OX3 8QF,5,,10/10/2016,10/08/2018
16/02148/HMOADL,18 Titup Hall Drive Oxford Oxfordshire OX3 8QF,5,,29/11/2016,29/11/2017
16/03988/HMOADS,10 Titup Hall Drive Oxford Oxfordshire OX3 8QF,3,,26/09/2016,25/09/2018
16/04216/HMOADL,6 Toot Hill Butts Oxford Oxfordshire OX3 8LB,5,,10/10/2016,09/08/2018
16/06210/HMOADS,16 Townsend Square Oxford Oxfordshire OX4 4BB,5,,27/02/2017,26/02/2018
17/01960/HMOADL,13 Townsend Square Oxford Oxfordshire OX4 4BB,5,5,11/08/2017,10/08/2018
16/06059/HMOADS,11 Trafford Road Oxford Oxfordshire OX3 8BD,4,4,25/02/2017,24/02/2018
17/01139/HMOADL,30 Trinity Street Oxford Oxfordshire OX1 1TY,4,4,31/05/2017,24/01/2021
15/03013/HMOADS,43 Trinity Street Oxford Oxfordshire OX1 1TY,4,4,22/09/2015,22/09/2017
16/00079/HMOADS,41 Trinity Street Oxford Oxfordshire OX1 1TY,4,4,09/02/2016,08/02/2018
16/00245/HMOADS,55 Trinity Street Oxford Oxfordshire OX1 1TY,4,4,10/03/2016,10/03/2018
17/00343/HMOLIC,6 Troy Close Oxford Oxfordshire OX3 7SG,5,,31/03/2017,30/03/2018
