unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"23B6165E-B94D-FCF4-E050-A8C0620577FA","600000","2015-10-15","OX3 0ER","S","N","F","","18","WILLIAM STREET","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-B94D-FCF4-E050-A8C0620577FA/current"
"288DCE29-94F6-E510-E050-A8C06205480E","625000","2015-11-17","OX3 0ER","T","N","F","","26","WILLIAM STREET","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-94F6-E510-E050-A8C06205480E/current"
"9CF2DB77-0C43-494C-B1B4-B2BADA227B1C","565000","2015-07-20","OX3 0ER","T","N","F","","8A","WILLIAM STREET","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/9CF2DB77-0C43-494C-B1B4-B2BADA227B1C/current"
"01975290-00E2-4DD9-AFE5-8F92E562DF73","480000","2015-07-21","OX3 0ES","T","N","F","","47","WILLIAM STREET","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/01975290-00E2-4DD9-AFE5-8F92E562DF73/current"
"29FF68E1-2364-40F1-B6CF-4B29EA16DA53","560000","2015-06-05","OX3 0ES","T","N","F","","55","WILLIAM STREET","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/29FF68E1-2364-40F1-B6CF-4B29EA16DA53/current"
"F8907529-02A6-401D-9F3F-06DBD7AA0191","400000","2015-03-20","OX3 0ET","D","N","F","","10","FERRY ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/F8907529-02A6-401D-9F3F-06DBD7AA0191/current"
"DA6B621D-60BC-4C63-9939-5812AFE0B477","530000","2015-04-28","OX3 0EU","S","N","F","","75","FERRY ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/DA6B621D-60BC-4C63-9939-5812AFE0B477/current"
"C6457485-32E0-4006-9F64-B1CC4439AC97","580000","2015-07-24","OX3 0EW","S","N","F","","259","MARSTON ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/C6457485-32E0-4006-9F64-B1CC4439AC97/current"
"25EA59FA-11D7-4D50-E050-A8C0630562D0","350000","2015-10-30","OX3 0EW","S","N","F","","277","MARSTON ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/25EA59FA-11D7-4D50-E050-A8C0630562D0/current"
"78AA7D3E-F5C4-4187-9AD1-9E62A6DA3743","570000","2015-08-14","OX3 0EX","D","N","F","","95","FERRY ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/78AA7D3E-F5C4-4187-9AD1-9E62A6DA3743/current"
"288DCE29-933C-E510-E050-A8C06205480E","500000","2015-12-10","OX3 0EZ","S","N","F","","17","PURCELL ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-933C-E510-E050-A8C06205480E/current"
"D5F40443-8A99-4F04-9B62-738FA7A7B915","355000","2015-07-10","OX3 0HB","S","N","F","","18","PURCELL ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/D5F40443-8A99-4F04-9B62-738FA7A7B915/current"
"2AC10E4F-EA96-1AF6-E050-A8C063052BA1","520000","2015-12-18","OX3 0HB","S","N","F","","45","PURCELL ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2AC10E4F-EA96-1AF6-E050-A8C063052BA1/current"
"2FC05A11-97A1-4E21-8335-187B0103465A","500000","2015-06-26","OX3 0HE","S","N","F","","72","EDGEWAY ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2FC05A11-97A1-4E21-8335-187B0103465A/current"
"21E5FEB6-7829-2439-E050-A8C06205342E","200000","2015-09-15","OX3 0HF","T","N","F","","43","EDGEWAY ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB6-7829-2439-E050-A8C06205342E/current"
"21E5FEB6-7745-2439-E050-A8C06205342E","200000","2015-09-15","OX3 0HF","T","N","F","","43","EDGEWAY ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB6-7745-2439-E050-A8C06205342E/current"
"288DCE29-951D-E510-E050-A8C06205480E","520000","2015-11-13","OX3 0HL","S","N","F","","13","HUGH ALLEN CRESCENT","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-951D-E510-E050-A8C06205480E/current"
"A7A21E1E-AE0A-4474-BB87-3EEB58A00E08","405000","2015-04-14","OX3 0HL","S","N","F","","41","HUGH ALLEN CRESCENT","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/A7A21E1E-AE0A-4474-BB87-3EEB58A00E08/current"
"ACB621BF-ECCE-47D8-900C-A9FD09CD010F","405000","2015-05-15","OX3 0HN","S","N","F","","16","HUGH ALLEN CRESCENT","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/ACB621BF-ECCE-47D8-900C-A9FD09CD010F/current"
